frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg
1020,1566536036546192404,-24.00,336.00,754,246687,10691,-29.72,327.41,137.67,0.9288,1,0.1752,0.8045,0.9286,10000,1904,10,514.1,329.0,gicp_d2_i20,3458.3,0.9287,0.2403,0.189,0.811
1020,1566536036546192404,-24.00,336.00,754,246687,10691,-29.72,327.41,137.67,0.9288,1,0.1752,0.8045,0.9286,10000,1904,10,514.1,329.0,ndt_r2_i30,2230.9,0.9285,0.2423,0.323,0.774
1080,1566536042545853442,0.00,288.00,608,203247,10014,10.90,291.73,140.88,0.9614,1,0.0645,0.6094,0.9629,10000,1220,10,365.8,289.6,none,4.8,0.9491,0.2562,0.976,1.946
1080,1566536042545853442,0.00,288.00,608,203247,10014,10.90,291.73,140.88,0.9614,1,0.0645,0.6094,0.9629,10000,1220,10,365.8,289.6,icp_d2_i20,2918.4,0.9660,0.2472,0.367,0.716
1080,1566536042545853442,0.00,288.00,608,203247,10014,10.90,291.73,140.88,0.9614,1,0.0645,0.6094,0.9629,10000,1220,10,365.8,289.6,gicp_d2_i20,2359.2,0.9630,0.2438,0.062,0.590
1080,1566536042545853442,0.00,288.00,608,203247,10014,10.90,291.73,140.88,0.9614,1,0.0645,0.6094,0.9629,10000,1220,10,365.8,289.6,ndt_r2_i30,1848.0,0.9651,0.2476,0.319,1.032
1140,1566536048550155668,48.00,264.00,683,228747,11035,50.96,267.15,155.70,0.9659,1,0.2290,0.2725,0.9654,10000,1736,10,406.9,337.2,none,6.7,0.8668,0.2487,1.794,4.330
1140,1566536048550155668,48.00,264.00,683,228747,11035,50.96,267.15,155.70,0.9659,1,0.2290,0.2725,0.9654,10000,1736,10,406.9,337.2,icp_d2_i20,3467.4,0.9647,0.2467,0.826,0.284
1140,1566536048550155668,48.00,264.00,683,228747,11035,50.96,267.15,155.70,0.9659,1,0.2290,0.2725,0.9654,10000,1736,10,406.9,337.2,gicp_d2_i20,3125.8,0.9655,0.2461,0.229,0.271
1140,1566536048550155668,48.00,264.00,683,228747,11035,50.96,267.15,155.70,0.9659,1,0.2290,0.2725,0.9654,10000,1736,10,406.9,337.2,ndt_r2_i30,2249.0,0.9652,0.2456,0.229,0.374
1200,1566536054552874414,96.00,264.00,685,284751,12013,95.35,253.33,169.10,0.9326,1,0.6033,1.4858,0.9511,10000,3300,10,604.4,418.9,none,9.2,0.8228,0.2492,0.751,3.175
1200,1566536054552874414,96.00,264.00,685,284751,12013,95.35,253.33,169.10,0.9326,1,0.6033,1.4858,0.9511,10000,3300,10,604.4,418.9,icp_d2_i20,3863.3,0.9511,0.2478,0.276,1.740
1200,1566536054552874414,96.00,264.00,685,284751,12013,95.35,253.33,169.10,0.9326,1,0.6033,1.4858,0.9511,10000,3300,10,604.4,418.9,gicp_d2_i20,3793.4,0.9512,0.2457,0.605,1.547
1200,1566536054552874414,96.00,264.00,685,284751,12013,95.35,253.33,169.10,0.9326,1,0.6033,1.4858,0.9511,10000,3300,10,604.4,418.9,ndt_r2_i30,2151.0,0.9507,0.2459,0.409,1.599
1260,1566536060550029262,144.00,240.00,640,303991,13365,136.43,250.70,179.74,0.8679,1,1.6385,1.2915,0.9551,10000,2655,10,731.1,480.9,none,10.1,0.6812,0.2519,2.951,5.320
1260,1566536060550029262,144.00,240.00,640,303991,13365,136.43,250.70,179.74,0.8679,1,1.6385,1.2915,0.9551,10000,2655,10,731.1,480.9,icp_d2_i20,4115.5,0.9553,0.2504,1.675,1.810
1260,1566536060550029262,144.00,240.00,640,303991,13365,136.43,250.70,179.74,0.8679,1,1.6385,1.2915,0.9551,10000,2655,10,731.1,480.9,gicp_d2_i20,3769.1,0.9556,0.2453,1.535,1.431
1260,1566536060550029262,144.00,240.00,640,303991,13365,136.43,250.70,179.74,0.8679,1,1.6385,1.2915,0.9551,10000,2655,10,731.1,480.9,ndt_r2_i30,2279.1,0.9562,0.2449,1.592,1.245
1320,1566536066547244700,192.00,264.00,329,188020,14664,195.17,257.00,-166.61,0.8081,1,1.9733,0.7653,0.9942,10000,728,10,591.2,440.3,none,7.0,0.7970,0.2510,2.942,4.294
1320,1566536066547244700,192.00,264.00,329,188020,14664,195.17,257.00,-166.61,0.8081,1,1.9733,0.7653,0.9942,10000,728,10,591.2,440.3,icp_d2_i20,4190.4,0.9933,0.2460,2.204,1.231
1320,1566536066547244700,192.00,264.00,329,188020,14664,195.17,257.00,-166.61,0.8081,1,1.9733,0.7653,0.9942,10000,728,10,591.2,440.3,gicp_d2_i20,3366.6,0.9944,0.2460,1.995,0.813
1320,1566536066547244700,192.00,264.00,329,188020,14664,195.17,257.00,-166.61,0.8081,1,1.9733,0.7653,0.9942,10000,728,10,591.2,440.3,ndt_r2_i30,2412.4,0.9941,0.2458,2.042,0.809
1380,1566536072544989421,240.00,288.00,363,160559,8171,251.54,281.46,-150.25,0.9711,1,0.8591,1.1675,0.9927,10000,2145,10,276.7,232.4,none,5.8,0.7801,0.2503,2.822,6.717
1380,1566536072544989421,240.00,288.00,363,160559,8171,251.54,281.46,-150.25,0.9711,1,0.8591,1.1675,0.9927,10000,2145,10,276.7,232.4,icp_d2_i20,2336.2,0.9919,0.2509,0.903,1.437
1380,1566536072544989421,240.00,288.00,363,160559,8171,251.54,281.46,-150.25,0.9711,1,0.8591,1.1675,0.9927,10000,2145,10,276.7,232.4,gicp_d2_i20,2636.9,0.9927,0.2494,0.862,1.168
1380,1566536072544989421,240.00,288.00,363,160559,8171,251.54,281.46,-150.25,0.9711,1,0.8591,1.1675,0.9927,10000,2145,10,276.7,232.4,ndt_r2_i30,2451.0,0.9923,0.2527,0.877,0.893
1440,1566536078545258190,288.00,288.00,368,157590,10413,297.19,290.89,158.94,0.9533,1,0.6131,0.5883,0.9576,10000,1736,10,378.2,288.5,none,5.5,0.9514,0.2503,0.952,0.975
1440,1566536078545258190,288.00,288.00,368,157590,10413,297.19,290.89,158.94,0.9533,1,0.6131,0.5883,0.9576,10000,1736,10,378.2,288.5,icp_d2_i20,3027.9,0.9586,0.2533,0.613,0.620
1440,1566536078545258190,288.00,288.00,368,157590,10413,297.19,290.89,158.94,0.9533,1,0.6131,0.5883,0.9576,10000,1736,10,378.2,288.5,gicp_d2_i20,2961.4,0.9576,0.2555,0.614,0.590
1440,1566536078545258190,288.00,288.00,368,157590,10413,297.19,290.89,158.94,0.9533,1,0.6131,0.5883,0.9576,10000,1736,10,378.2,288.5,ndt_r2_i30,2047.8,0.9574,0.2550,0.615,0.582
1500,1566536084545059595,312.00,264.00,393,175180,9851,320.77,262.19,124.05,0.9533,1,0.8107,0.9371,0.9721,10000,2809,10,423.8,309.7,none,6.9,0.7492,0.2459,3.356,5.472
1500,1566536084545059595,312.00,264.00,393,175180,9851,320.77,262.19,124.05,0.9533,1,0.8107,0.9371,0.9721,10000,2809,10,423.8,309.7,icp_d2_i20,3021.5,0.9717,0.2501,0.791,0.969
1500,1566536084545059595,312.00,264.00,393,175180,9851,320.77,262.19,124.05,0.9533,1,0.8107,0.9371,0.9721,10000,2809,10,423.8,309.7,gicp_d2_i20,3407.7,0.9721,0.2511,0.811,0.936
1500,1566536084545059595,312.00,264.00,393,175180,9851,320.77,262.19,124.05,0.9533,1,0.8107,0.9371,0.9721,10000,2809,10,423.8,309.7,ndt_r2_i30,2080.0,0.9712,0.2516,0.868,1.023
