frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,556.6,356.6,ndt_r3_i120,3563.7,0.9790,0.2463,0.357,0.520,0.357
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,461.0,330.1,icp_d4_i120,8704.6,0.9590,0.2414,0.208,0.259,0.208
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,461.0,330.1,gicp_d4_i120,9894.2,0.9578,0.2418,0.213,0.352,0.213
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,461.0,330.1,ndt_r3_i120,4050.1,0.9584,0.2411,0.319,0.530,0.305
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,379.7,288.9,icp_d4_i120,6511.5,0.9876,0.2474,0.267,0.278,0.138
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,379.7,288.9,gicp_d4_i120,3091.1,0.9864,0.2481,0.158,0.215,0.158
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,379.7,288.9,ndt_r3_i120,2754.5,0.9859,0.2467,0.091,0.145,0.066
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,520.5,383.2,icp_d4_i120,12023.3,0.9751,0.2485,0.213,0.759,0.189
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,520.5,383.2,gicp_d4_i120,13201.5,0.9751,0.2474,0.242,0.676,0.242
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,520.5,383.2,ndt_r3_i120,3723.6,0.9748,0.2467,0.213,0.650,0.213
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,654.6,466.3,icp_d4_i120,16698.2,0.9512,0.2409,1.340,1.405,1.340
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,654.6,466.3,gicp_d4_i120,13569.4,0.9508,0.2434,1.403,1.443,1.403
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,654.6,466.3,ndt_r3_i120,4725.4,0.9500,0.2441,1.327,1.315,1.326
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,534.6,438.4,icp_d4_i120,8436.1,0.9950,0.2456,2.040,0.727,1.954
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,534.6,438.4,gicp_d4_i120,4666.2,0.9949,0.2463,2.018,0.743,2.018
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,534.6,438.4,ndt_r3_i120,3578.6,0.9951,0.2464,2.057,0.790,1.029
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,311.1,264.5,icp_d4_i120,7170.9,0.9846,0.2496,0.569,0.708,0.563
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,311.1,264.5,gicp_d4_i120,4301.6,0.9842,0.2523,0.608,0.761,0.608
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,311.1,264.5,ndt_r3_i120,2902.5,0.9839,0.2536,0.658,0.651,0.658
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,380.2,300.6,icp_d4_i120,9563.6,0.9950,0.2507,0.548,0.812,0.548
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,380.2,300.6,gicp_d4_i120,7526.3,0.9950,0.2521,0.624,0.791,0.623
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,380.2,300.6,ndt_r3_i120,3427.3,0.9951,0.2522,0.640,0.580,0.627
