frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,ndt_r3_i30,2253.2,0.9836,0.2398,0.333,0.928,0.333
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,none,6.2,0.7716,0.2527,2.442,3.084,1.962
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,icp_d1_i30,2729.7,0.8780,0.2413,1.894,0.665,1.894
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,icp_d2_i30,3470.1,0.8818,0.2425,1.714,0.529,1.714
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,icp_d4_i30,3439.4,0.8821,0.2430,1.722,0.496,1.026
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,gicp_d1_i30,4580.6,0.8889,0.2435,0.083,0.056,0.080
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,gicp_d2_i30,5463.4,0.8889,0.2434,0.080,0.045,0.075
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,gicp_d4_i30,5428.6,0.8895,0.2437,0.577,0.227,0.077
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,ndt_r1_i30,1906.9,0.8896,0.2444,0.486,0.134,0.486
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,ndt_r2_i30,2168.4,0.8893,0.2431,0.242,0.174,0.242
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,443.7,356.1,ndt_r3_i30,2215.5,0.8895,0.2428,0.505,0.313,0.365
