frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,756.2,413.3,gicp_pluginparams_tile,16,11513,151.2,5557.0,0.7007,0.2554,16.427,41.973,14.440
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,756.2,413.3,gicp_tuned_fullmap,16,11513,0.0,12033.3,0.7022,0.2619,14.614,38.926,11.728
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,756.2,413.3,gicp_tuned_tile,16,11513,168.4,11502.7,0.6991,0.2620,15.236,38.177,11.266
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,646.5,412.1,gicp_plugin,16,12004,0.0,5651.3,0.8224,0.2398,4.188,2.061,4.188
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,646.5,412.1,gicp_pluginparams_tile,16,12004,147.5,5048.0,0.8439,0.2388,3.673,2.023,3.673
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,646.5,412.1,gicp_tuned_fullmap,16,12004,0.0,14008.0,0.9948,0.2457,0.150,0.263,0.150
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,646.5,412.1,gicp_tuned_tile,16,12004,143.2,12663.7,0.9942,0.2474,0.068,0.594,0.068
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,980.1,507.2,gicp_plugin,16,12024,0.0,4234.4,0.9886,0.2474,0.389,0.568,0.066
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,980.1,507.2,gicp_pluginparams_tile,16,12024,186.3,1455.2,0.9888,0.2477,0.304,0.449,0.037
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,980.1,507.2,gicp_tuned_fullmap,16,12024,0.0,7814.9,0.9885,0.2464,0.071,0.098,0.068
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,980.1,507.2,gicp_tuned_tile,16,12024,172.7,1528.1,0.9885,0.2442,0.106,0.160,0.041
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,560.8,324.4,gicp_plugin,16,12698,0.0,403.8,0.9250,0.2478,0.143,0.332,0.127
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,560.8,324.4,gicp_pluginparams_tile,16,12698,142.4,394.5,0.9301,0.2429,0.370,0.222,0.370
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,560.8,324.4,gicp_tuned_fullmap,16,12698,0.0,689.1,0.9251,0.2477,0.143,0.326,0.143
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,560.8,324.4,gicp_tuned_tile,16,12698,134.4,891.9,0.8927,0.2441,1.313,0.278,1.313
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,481.4,290.0,gicp_plugin,16,10805,0.0,448.1,0.9789,0.2465,0.062,0.420,0.062
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,481.4,290.0,gicp_pluginparams_tile,16,10805,115.8,421.7,0.9784,0.2459,0.488,0.534,0.124
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,481.4,290.0,gicp_tuned_fullmap,16,10805,0.0,972.8,0.9789,0.2464,0.057,0.450,0.057
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,481.4,290.0,gicp_tuned_tile,16,10805,119.6,2643.2,0.9789,0.2465,0.150,0.338,0.111
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,400.8,251.7,gicp_plugin,16,10204,0.0,390.2,0.9585,0.2415,0.147,0.378,0.115
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,400.8,251.7,gicp_pluginparams_tile,16,10204,96.2,286.2,0.9577,0.2419,0.172,0.380,0.172
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,400.8,251.7,gicp_tuned_fullmap,16,10204,0.0,396.6,0.9584,0.2417,0.147,0.359,0.143
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,400.8,251.7,gicp_tuned_tile,16,10204,97.4,451.9,0.9580,0.2420,0.186,0.392,0.183
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,316.3,221.4,gicp_plugin,16,10131,0.0,1210.6,0.9872,0.2486,0.292,0.212,0.270
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,316.3,221.4,gicp_pluginparams_tile,16,10131,81.1,329.0,0.9870,0.2485,0.232,0.286,0.166
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,316.3,221.4,gicp_tuned_fullmap,16,10131,0.0,108.4,0.9871,0.2486,0.287,0.215,0.270
1100,1566536044548126397,24.00,288.00,582,211151,10131,25.65,280.95,146.14,0.9859,1,0.1571,0.2143,0.9864,10000,1236,10,0.312,316.3,221.4,gicp_tuned_tile,16,10131,79.4,199.6,0.9867,0.2484,0.169,0.235,0.164
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,469.0,291.7,gicp_plugin,16,11346,0.0,388.5,0.9749,0.2485,0.338,0.635,0.337
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,469.0,291.7,gicp_pluginparams_tile,16,11346,99.9,426.1,0.9750,0.2468,0.242,0.698,0.201
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,469.0,291.7,gicp_tuned_fullmap,16,11346,0.0,893.3,0.9749,0.2484,0.339,0.634,0.335
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,469.0,291.7,gicp_tuned_tile,16,11346,102.7,723.3,0.9750,0.2475,0.215,0.964,0.210
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,585.0,454.0,gicp_plugin,16,13848,0.0,601.9,0.9511,0.2412,1.551,1.251,1.551
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,585.0,454.0,gicp_pluginparams_tile,16,13848,114.1,484.4,0.9507,0.2432,1.415,1.424,1.160
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,585.0,454.0,gicp_tuned_fullmap,16,13848,0.0,852.8,0.9513,0.2409,1.557,1.239,1.553
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,585.0,454.0,gicp_tuned_tile,16,13848,115.7,1259.2,0.9508,0.2425,1.400,1.454,1.152
