frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,602.8,378.0,ndt_r3_i240,5126.0,0.9756,0.2465,0.449,0.276,0.384
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,548.0,356.8,icp_d4_i240,16002.4,0.9794,0.2471,0.163,0.243,0.163
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,548.0,356.8,gicp_d4_i240,26683.3,0.9794,0.2466,0.154,0.180,0.154
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,548.0,356.8,ndt_r3_i240,4733.4,0.9793,0.2442,0.554,0.209,0.436
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,797.4,384.8,icp_d4_i240,19265.6,0.7332,0.2561,16.491,40.754,12.656
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,797.4,384.8,gicp_d4_i240,28870.5,0.7115,0.2575,15.151,38.135,11.276
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,797.4,384.8,ndt_r3_i240,3490.1,0.7124,0.2625,18.060,41.854,13.677
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,649.3,405.3,icp_d4_i240,17460.3,0.9944,0.2405,0.673,0.000,0.517
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,649.3,405.3,gicp_d4_i240,27110.8,0.9943,0.2467,0.084,0.626,0.084
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,649.3,405.3,ndt_r3_i240,4926.8,0.9949,0.2428,0.302,0.761,0.260
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,925.4,433.0,icp_d4_i240,17614.5,0.9887,0.2435,0.303,0.126,0.106
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,925.4,433.0,gicp_d4_i240,27139.5,0.9885,0.2477,0.055,0.110,0.047
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,925.4,433.0,ndt_r3_i240,4191.4,0.9892,0.2438,0.539,0.705,0.539
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,604.4,436.0,icp_d4_i240,16621.0,0.9285,0.2491,0.717,0.683,0.542
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,604.4,436.0,gicp_d4_i240,35757.6,0.8941,0.2425,1.266,0.458,1.266
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,604.4,436.0,ndt_r3_i240,4847.7,0.9253,0.2481,0.500,0.291,0.449
