frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,608.6,434.2,gicp_d4_i60,9986.9,0.8941,0.2425,1.266,0.458,1.266
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,608.6,434.2,ndt_r4_i30,2151.9,0.9256,0.2485,0.434,0.371,0.434
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,608.6,434.2,ndt_r3_i60,3618.1,0.9253,0.2481,0.500,0.291,0.455
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,578.2,361.5,icp_d6_i30,4857.9,0.9759,0.2442,1.242,1.494,0.799
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,578.2,361.5,icp_d4_i60,8495.9,0.9793,0.2470,0.831,0.928,0.168
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,578.2,361.5,gicp_d6_i30,5026.5,0.9787,0.2467,0.111,0.371,0.111
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,578.2,361.5,gicp_d4_i60,9167.6,0.9786,0.2470,0.102,0.323,0.102
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,578.2,361.5,ndt_r4_i30,2108.8,0.9789,0.2461,0.894,1.084,0.493
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,578.2,361.5,ndt_r3_i60,3177.7,0.9790,0.2463,0.357,0.520,0.357
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,511.7,331.2,icp_d6_i30,4371.8,0.9583,0.2423,0.961,0.556,0.748
