frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,751.2,401.6,gicp_d4_i60,16,11513,164.6,10069.6,0.7121,0.2619,16.210,39.979,11.276
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,751.2,401.6,ndt_r3_i120,16,11513,11.9,3672.0,0.7124,0.2625,18.060,41.854,13.677
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,617.1,409.3,none,0,12004,0.0,6.7,0.6587,0.2365,7.473,7.124,7.024
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,617.1,409.3,gicp_plugin,16,12004,0.0,5611.7,0.8224,0.2398,4.188,2.061,4.188
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,617.1,409.3,gicp_d4_i60,16,12004,153.1,9932.2,0.9943,0.2467,0.151,0.617,0.084
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,617.1,409.3,ndt_r3_i120,16,12004,11.8,4706.9,0.9949,0.2428,0.302,0.761,0.260
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,891.5,461.4,none,0,12024,0.0,6.3,0.8965,0.2423,1.832,0.859,1.832
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,891.5,461.4,gicp_plugin,16,12024,0.0,5755.7,0.9886,0.2474,0.389,0.568,0.066
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,891.5,461.4,gicp_d4_i60,16,12024,169.4,9515.5,0.9889,0.2400,0.271,0.404,0.047
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,891.5,461.4,ndt_r3_i120,16,12024,13.1,4154.4,0.9892,0.2438,0.539,0.705,0.539
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,656.9,443.8,none,0,12698,0.0,6.6,0.8746,0.2463,0.821,3.851,0.821
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,656.9,443.8,gicp_plugin,16,12698,0.0,5446.5,0.9250,0.2478,0.143,0.332,0.127
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,656.9,443.8,gicp_d4_i60,16,12698,150.4,10402.7,0.8941,0.2425,1.266,0.458,1.266
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,656.9,443.8,ndt_r3_i120,16,12698,11.3,4641.7,0.9253,0.2481,0.500,0.291,0.449
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,533.6,389.6,none,0,10805,0.0,6.4,0.6885,0.2537,3.904,4.103,2.955
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,533.6,389.6,gicp_plugin,16,10805,0.0,5616.5,0.9789,0.2465,0.062,0.420,0.062
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,533.6,389.6,gicp_d4_i60,16,10805,155.1,9102.9,0.9786,0.2470,0.102,0.323,0.102
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,533.6,389.6,ndt_r3_i120,16,10805,11.7,3561.2,0.9790,0.2463,0.357,0.520,0.357
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,469.0,320.0,none,0,10204,0.0,6.1,0.7677,0.2603,2.952,2.436,2.343
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,469.0,320.0,gicp_plugin,16,10204,0.0,4909.2,0.9585,0.2415,0.147,0.378,0.115
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,469.0,320.0,gicp_d4_i60,16,10204,126.2,8134.8,0.9578,0.2418,0.213,0.352,0.213
1027,1566536037247571899,-24.00,312.00,918,262121,10204,-25.76,323.82,137.57,0.9579,1,0.2117,0.3504,0.9578,10000,1719,10,2.343,469.0,320.0,ndt_r3_i120,16,10204,11.5,3907.6,0.9584,0.2411,0.319,0.530,0.305
